word,length,type,unique_to_level,also_appears_in_levels,character_count
打牌,2,compound,yes,none,2
打造,2,compound,yes,none,2
托,1,single,yes,none,1
扣,1,single,yes,none,1
扭,1,single,yes,none,1
承诺,2,compound,yes,none,2
投票,2,compound,yes,none,2
抗议,2,compound,yes,none,2
护,1,single,yes,none,1
报刊,2,compound,yes,none,2
报考,2,compound,yes,none,2
抱歉,2,compound,yes,none,2
抵抗,2,compound,yes,none,2
抵达,2,compound,yes,none,2
担忧,2,compound,yes,none,2
拆迁,2,compound,yes,none,2
拐,1,single,yes,none,1
拖,1,single,yes,none,1
拖鞋,2,compound,yes,none,2
招,1,single,yes,none,1
招聘,2,compound,yes,none,2
拨打,2,compound,yes,none,2
拿走,2,compound,yes,none,2
持有,2,compound,yes,none,2
指头,2,compound,yes,none,2
指定,2,compound,yes,none,2
指数,2,compound,yes,none,2
指着,2,compound,yes,none,2
挖,1,single,yes,none,1
挨,1,single,yes,none,1
挨打,2,compound,yes,none,2
挨着,2,compound,yes,none,2
捉,1,single,yes,none,1
捐,1,single,yes,none,1
捐助,2,compound,yes,none,2
捐款,2,compound,yes,none,2
捐赠,2,compound,yes,none,2
捕,1,single,yes,none,1
捡,1,single,yes,none,1
据,1,single,yes,none,1
掌声,2,compound,yes,none,2
掏,1,single,yes,none,1
排行榜,3,compound,yes,none,3
探索,2,compound,yes,none,2
探讨,2,compound,yes,none,2
接收,2,compound,yes,none,2
推出,2,compound,yes,none,2
提交,2,compound,yes,none,2
提升,2,compound,yes,none,2
揭,1,single,yes,none,1
援助,2,compound,yes,none,2
搭,1,single,yes,none,1
搭档,2,compound,yes,none,2
搭配,2,compound,yes,none,2
撑,1,single,yes,none,1
撤离,2,compound,yes,none,2
撤销,2,compound,yes,none,2
播,1,single,yes,none,1
操纵,2,compound,yes,none,2
支援,2,compound,yes,none,2
支撑,2,compound,yes,none,2
收养,2,compound,yes,none,2
收取,2,compound,yes,none,2
收藏,2,compound,yes,none,2
改装,2,compound,yes,none,2
攻击,2,compound,yes,none,2
政党,2,compound,yes,none,2
政权,2,compound,yes,none,2
政策,2,compound,yes,none,2
故障,2,compound,yes,none,2
救助,2,compound,yes,none,2
救命,2,compound,yes,none,2
救援,2,compound,yes,none,2
教堂,2,compound,yes,none,2
教育部,3,compound,yes,none,3
敢于,2,compound,yes,none,2
整治,2,compound,yes,none,2
整顿,2,compound,yes,none,2
文娱,2,compound,yes,none,2
斗争,2,compound,yes,none,2
料,1,single,yes,none,1
新人,2,compound,yes,none,2
新兴,2,compound,yes,none,2
旅店,2,compound,yes,none,2
旋转,2,compound,yes,none,2
族,1,single,yes,none,1
族,1,single,yes,none,1
无关,2,compound,yes,none,2
无效,2,compound,yes,none,2
无边,2,compound,yes,none,2
日夜,2,compound,yes,none,2
日语,2,compound,yes,none,2
早晚,2,compound,yes,none,2
时时,2,compound,yes,none,1
时期,2,compound,yes,none,2
时而,2,compound,yes,none,2
时节,2,compound,yes,none,2
时装,2,compound,yes,none,2
昌盛,2,compound,yes,none,2
明日,2,compound,yes,none,2
昏,1,single,yes,none,1
显出,2,compound,yes,none,2
晓得,2,compound,yes,none,2
晕,1,single,yes,none,1
晕车,2,compound,yes,none,2
景,1,single,yes,none,1
景点,2,compound,yes,none,2
智慧,2,compound,yes,none,2
暴力,2,compound,yes,none,2
暴雨,2,compound,yes,none,2
暴露,2,compound,yes,none,2
暴风雨,3,compound,yes,none,3
更是,2,compound,yes,none,2
最佳,2,compound,yes,none,2
最终,2,compound,yes,none,2
有事,2,compound,yes,none,2
有关,2,compound,yes,none,2
有没有,3,compound,yes,none,2
服,1,single,yes,none,1
望见,2,compound,yes,none,2
本土,2,compound,yes,none,2
本地,2,compound,yes,none,2
本期,2,compound,yes,none,2
本质,2,compound,yes,none,2
本身,2,compound,yes,none,2
机关,2,compound,yes,none,2
机动车,3,compound,yes,none,3
机械,2,compound,yes,none,2
杂,1,single,yes,none,1
权,1,single,yes,none,1
权力,2,compound,yes,none,2
杆,1,single,yes,none,1
村庄,2,compound,yes,none,2
来往,2,compound,yes,none,2
杰出,2,compound,yes,none,2
极端,2,compound,yes,none,2
构建,2,compound,yes,none,2
果树,2,compound,yes,none,2
果酱,2,compound,yes,none,2
枝,1,single,yes,none,1
查出,2,compound,yes,none,2
查看,2,compound,yes,none,2
柱子,2,compound,yes,none,2
栏目,2,compound,yes,none,2
样,1,single,yes,none,1
核心,2,compound,yes,none,2
