simplified,vietnamese,pinyin,english,hsk_level
分布,,fēn bù,"to scatter; to distribute; to be distributed (over an area etc); (statistical, geographic) distribution",4
分开,,fēn kāi,to separate; to part,4
分配,,fēn pèi,to distribute; to assign; to allocate; to partition (a hard drive),4
分散,,fēn sàn,to scatter; to disperse; to distribute,4
分手,,fēn shǒu,to part company; to split up; to break up,4
分数,,fēn shù,(exam) grade; mark; score; fraction,4
分为,,fēn wéi,to divide sth into (parts); to subdivide,4
分之,,fēn zhī,(indicating a fraction),4
分钟,,fēn zhōng,minute,4
分组,,fēn zǔ,to divide into groups; group (formed from a larger group); subgroup; (computer networking) packet,4
纷纷,,fēn fēn,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,4
份,,fèn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分",4
奋斗,,fèn dòu,to strive; to struggle,4
丰富,,fēng fù,to enrich; rich; plentiful; abundant,4
风,,fēng,wind; news; style; custom; manner,4
风格,,fēng gé,style,4
风景,,fēng jǐng,scenery; landscape,4
风俗,,fēng sú,social custom,4
风险,,fēng xiǎn,risk; hazard,4
封,,Fēng,surname Feng,4
封闭,,fēng bì,to close; to seal off; to close down (an illegal venue); closed (i.e. isolated from outside input),4
否定,,fǒu dìng,to negate; to deny; to reject; negative (answer); negation,4
否认,,fǒu rèn,to declare to be untrue; to deny,4
否则,,fǒu zé,otherwise; if not; or (else),4
服务,,fú wù,to serve; service,4
服务员,,fú wù yuán,waiter; waitress; attendant; customer service personnel,4
服装,,fú zhuāng,dress; clothing; costume; clothes,4
符号,,fú hào,symbol; mark; sign,4
符合,,fú hé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle,4
福,,Fú,surname Fu; abbr. for Fujian province 省,4
父母,,fù mǔ,father and mother; parents,4
父亲,,fù qīn,father; also pr. [fù qin],4
付,,Fù,surname Fu,4
付出,,fù chū,to pay; to expend; to invest (energy or time),4
负担,,fù dān,"to bear (an expense, a responsibility etc); burden",4
负责,,fù zé,to be in charge of; to take responsibility for; to be to blame; conscientious,4
附近,,fù jìn,nearby; neighboring; (in the) vicinity (of); neighborhood,4
复习,,fù xí,to review; revision,4
复印,,fù yìn,to photocopy; to duplicate a document,4
复杂,,fù zá,complicated; complex,4
复制,,fù zhì,to duplicate; to make a copy of; to copy; to reproduce; to clone,4
富,,Fù,surname Fu,4
夫妇,,fū fù,a (married) couple; husband and wife,4
夫妻,,fū qī,husband and wife; married couple,4
夫人,,fū ren,lady; madam; Mrs.,4
该,,gāi,should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned,4
改,,gǎi,to change; to alter; to transform; to correct,4
改变,,gǎi biàn,to change; to alter; to transform,4
改进,,gǎi jìn,to improve; to make better; improvement,4
改善,,gǎi shàn,to make better; to improve,4
改造,,gǎi zào,to transform; to reform; to remodel; to remold,4
改正,,gǎi zhèng,to correct; to amend; to put right; correction,4
盖,,Gě,surname Ge,4
概括,,gài kuò,to summarize; to generalize; briefly; in broad outline,4
概念,,gài niàn,concept; idea,4
赶,,gǎn,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time),4
赶到,,gǎn dào,to hurry (to some place),4
赶紧,,gǎn jǐn,hurriedly; without delay,4
赶快,,gǎn kuài,quickly; at once,4
敢,,gǎn,to dare; daring; (polite) may I venture,4
感到,,gǎn dào,to feel; to sense; to perceive,4
感动,,gǎn dòng,to move (sb); to touch (sb emotionally); moving,4
感觉,,gǎn jué,feeling; impression; sensation; to feel; to perceive,4
感冒,,gǎn mào,to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); (Tw) to detest; can't stand,4
感情,,gǎn qíng,emotion; sentiment; affection; feelings between two persons,4
感受,,gǎn shòu,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience,4
感谢,,gǎn xiè,(express) thanks; gratitude; grateful; thankful; thanks,4
感兴趣,,gǎn xìng qù,to be interested,4
干,,gān,old variant of 干,4
干杯,,gān bēi,to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup,4
干活儿,,gàn huó r,erhua variant of 干活,4
干净,,gān jìng,clean; neat,4
干吗,,gàn má,see 干嘛,4
干什么,,gàn shén me,what are you doing?; what's he up to?,4
刚,,gāng,hard; firm; strong; just; barely; exactly,4
刚才,,gāng cái,just now; a moment ago,4
刚刚,,gāng gang,just recently; just a moment ago,4
高,,Gāo,surname Gao,4
高潮,,gāo cháo,"high tide; high water; upsurge; peak of activity; climax (of a story, a competition etc); to have an orgasm",4
高级,,gāo jí,high level; high grade; advanced; high-ranking,4
高价,,gāo jià,high price,4
高尚,,gāo shàng,noble; lofty; refined; exquisite,4
高速,,gāo sù,high speed; expressway (abbr. for 路),4
高速公路,,gāo sù gōng lù,expressway; highway; freeway,4
高铁,,gāo tiě,high speed rail,4
高兴,,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood,4
高中,,gāo zhōng,senior high school; abbr. for 高级中学,4
告别,,gào bié,to leave; to part from; to bid farewell to; to say goodbye to,4
告诉,,gào sù,to press charges; to file a complaint,4
哥,,gē,elder brother,4
哥哥,,gē ge,older brother,4
歌,,gē,song; to sing,4
歌迷,,gē mí,fan of a singer,4
歌声,,gē shēng,singing voice; fig. original voice of a poet,4
歌手,,gē shǒu,singer,4
格外,,gé wài,especially; particularly,4
隔,,gé,to separate; to partition; to stand or lie between; at a distance from; after or at an interval of,4
隔开,,gé kāi,to separate,4
个,,gě,used in 自个儿,4
个别,,gè bié,individually; one by one; just one or two; exceptional; rare,4
个人,,gè rén,individual; personal; oneself,4
个体,,gè tǐ,individual,4
个性,,gè xìng,individuality; personality,4
个子,,gè zi,height; stature; build; size,4
各,,gè,each; every,4
各地,,gè dì,in all parts of (a country); various regions,4
各个,,gè gè,"every; various; separately, one by one",4
各位,,gè wèi,"everybody; all (guests, colleagues etc); all of you",4
各种,,gè zhǒng,every kind of; all kinds of; various,4
各自,,gè zì,each; respective; apiece,4
给,,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),4
根,,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)",4
根本,,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all,4
根据,,gēn jù,according to; based on; basis; foundation,4
跟,,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),4
更,,gēng,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard),4
更加,,gèng jiā,more (than sth else); even more,4
工厂,,gōng chǎng,factory,4
工程,,gōng chéng,engineering; an engineering project; project; undertaking,4
工程师,,gōng chéng shī,engineer,4
工夫,,gōng fū,(old) laborer,4
工具,,gōng jù,tool; instrument; utensil; means (to achieve a goal etc),4
工人,,gōng rén,worker,4
工业,,gōng yè,industry,4
工资,,gōng zī,wages; pay,4
工作,,gōng zuò,to work; (of a machine) to operate; job; work; task,4
公布,,gōng bù,to announce; to make public; to publish,4
公共,,gōng gòng,public; common; communal,4
公共汽车,,gōng gòng qì chē,bus,4
公交车,,gōng jiāo chē,public transport vehicle; town bus,4
公斤,,gōng jīn,kilogram (kg),4
公开,,gōng kāi,open; overt; public; to make public; to release,4
公里,,gōng lǐ,kilometer,4
公路,,gōng lù,highway; road,4
公民,,gōng mín,citizen,4
公平,,gōng píng,fair; impartial,4
公司,,gōng sī,company; firm; corporation,4
公务员,,gōng wù yuán,functionary; office-bearer,4
公元,,gōng yuán,CE (Common Era); Christian Era; AD (Anno Domini),4
公园,,gōng yuán,park (for public recreation),4
功夫,,gōng fu,skill; art; kung fu; labor; effort,4
功课,,gōng kè,homework; assignment; task; classwork; lesson; study,4
功能,,gōng néng,function; capability,4
供应,,gōng yìng,to supply; to provide; to offer,4
共,,gòng,"common; general; to share; together; total; altogether; abbr. for 共产党, Communist party",4
共同,,gòng tóng,common; joint; jointly; together; collaborative,4
共有,,gòng yǒu,to have altogether; in all,4
狗,,gǒu,dog,4
构成,,gòu chéng,to constitute; to form; to compose; to make up; to configure (computing),4
构造,,gòu zào,structure; composition; tectonic (geology),4
购买,,gòu mǎi,to purchase; to buy,4
购物,,gòu wù,shopping,4
够,,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out,4
姑娘,,gū niang,girl; young woman; young lady; daughter; paternal aunt (old),4
古,,Gǔ,surname Gu,4
古代,,gǔ dài,ancient times,4
骨头,,gǔ tou,bone; moral character; bitterness; Taiwan pr. [gú tou],4
固定,,gù dìng,to fix; to fasten; to set rigidly in place; fixed; set; regular,4
故事,,gù shì,old practice,4
故乡,,gù xiāng,home; homeland; native place,4
故意,,gù yì,deliberately; on purpose,4
顾客,,gù kè,customer; client,4
瓜,,guā,melon; gourd; squash,4
挂,,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam),4
怪,,guài,bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather,4
关,,Guān,surname Guan,4
关闭,,guān bì,"to close; to shut (a window etc); (of a shop, school etc) to shut down",4
关机,,guān jī,to turn off (a machine or device); to finish shooting a film,4
关上,,guān shàng,"to close (a door); to turn off (light, electrical equipment etc)",4
关系,,guān xi,relation; relationship; to concern; to affect; to have to do with; guanxi,4
关心,,guān xīn,to be concerned about; to care about,4
关于,,guān yú,pertaining to; concerning; with regard to; about; a matter of,4
关注,,guān zhù,to pay attention to; to follow sth closely; to follow (on social media); concern; interest; attention,4
观察,,guān chá,to observe; to watch; to survey,4
观点,,guān diǎn,point of view; viewpoint; standpoint,4
观看,,guān kàn,to watch; to view,4
观念,,guān niàn,notion; thought; concept; sense; views; ideology; general impressions,4
观众,,guān zhòng,spectators; audience; visitors (to an exhibition etc),4
官,,Guān,surname Guan,4
官方,,guān fāng,government; official (approved or issued by an authority),4
管,,guǎn,variant of 管,4
管理,,guǎn lǐ,to supervise; to manage; to administer; management; administration,4
光,,guāng,light; ray; bright; shiny; only; merely; used up; finished; to leave (a part of the body) uncovered,4
光临,,guāng lín,(formal) to honor with one's presence; to attend,4
光明,,guāng míng,light; radiance; (fig.) bright (prospects etc); openhearted,4
光盘,,guāng pán,compact disc (CD); DVD; CD-ROM,4
广播,,guǎng bō,broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize,4
广场,,guǎng chǎng,public square; plaza,4
广大,,guǎng dà,(of an area) vast or extensive; large-scale; widespread; (of people) numerous,4
广告,,guǎng gào,to advertise; a commercial; advertisement,4
逛,,guàng,to stroll; to visit,4
归,,Guī,surname Gui,4
规定,,guī dìng,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations,4
规范,,guī fàn,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,4
规律,,guī lu:4,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline,4
规模,,guī mó,scale; scope; extent,4
规则,,guī zé,rule; regulation; rules and regulations,4
贵,,guì,expensive; noble; precious; (honorific) your,4
国,,Guó,surname Guo,4
国际,,guó jì,international,4
国家,,guó jiā,country; nation; state,4
国内,,guó nèi,domestic; internal (to a country); civil,4
国庆,,Guó qìng,National Day,4
国外,,guó wài,abroad; external (affairs); overseas; foreign,4
果然,,guǒ rán,really; sure enough; as expected; if indeed,4
果实,,guǒ shí,fruit (produced by a plant); (fig.) fruits (of success etc); results; gains,4
果汁,,guǒ zhī,fruit juice,4
过,,Guō,surname Guo,4
过程,,guò chéng,course of events; process,4
过分,,guò fèn,excessive; undue; overly,4
过来,,guò lái,to come over; to manage; to handle; to be able to take care of,4
过年,,guò nián,to celebrate the Chinese New Year,4
过去,,guò qù,(in the) past; former; previous; to go over; to pass by,4
哈哈,,hā hā,(onom.) laughing out loud,4
还,,Huán,surname Huan,4
还是,,hái shi,still (as before); had better; unexpectedly; or,4
还有,,hái yǒu,furthermore; in addition; still; also,4
孩子,,hái zi,child,4
海,,Hǎi,surname Hai,4
海边,,hǎi biān,coast; seaside; seashore; beach,4
海关,,hǎi guān,customs (i.e. border crossing inspection),4
海水,,hǎi shuǐ,seawater,4
海鲜,,hǎi xiān,seafood,4
害怕,,hài pà,to be afraid; to be scared,4
含,,hán,to keep in the mouth; to contain,4
含量,,hán liàng,content; quantity contained,4
含义,,hán yì,meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation,4
含有,,hán yǒu,to contain; including,4
寒假,,hán jià,winter vacation,4
寒冷,,hán lěng,cold (climate); frigid; very cold,4
喊,,hǎn,to yell; to shout; to call out for (a person),4
汉语,,Hàn yǔ,Chinese language,4
汉字,,hàn zì,Chinese character; Japanese: kanji; Korean: hanja; Vietnamese: hán tự,4
航班,,háng bān,(scheduled) flight; (scheduled) sailing,4
航空,,háng kōng,aviation,4
毫米,,háo mǐ,millimeter,4
毫升,,háo shēng,milliliter,4
好,,hǎo,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello,4
好吃,,hǎo chī,tasty; delicious,4
好处,,hǎo chǔ,easy to get along with,4
好多,,hǎo duō,many; quite a lot; much better,4
好好,,hǎo hǎo,well; carefully; nicely; properly,4
好久,,hǎo jiǔ,quite a while,4
好看,,hǎo kàn,"good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated",4
好奇,,hào qí,inquisitive; curious; inquisitiveness; curiosity,4
好人,,hǎo rén,"good person; healthy person; person who tries not to offend anyone, even at the expense of principle",4
好事,,hǎo shì,"good action, deed, thing or work (also sarcastic, ""a fine thing indeed""); charity; happy occasion; Daoist or Buddhist ceremony for the souls of the dead",4
好听,,hǎo tīng,pleasant to hear,4
好玩儿,,hǎo wán r,erhua variant of 玩,4
好像,,hǎo xiàng,as if; to seem like,4
好友,,hǎo yǒu,close friend; pal; (social networking website) friend,4
号,,háo,roar; cry,4
号码,,hào mǎ,number,4
喝,,hē,to drink; variant of 嗬,4
合,,gě,"100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗",4
合法,,hé fǎ,lawful; legitimate; legal,4
合格,,hé gé,to meet the standard required; qualified; eligible (voter etc),4
合理,,hé lǐ,rational; reasonable; sensible; fair,4
合适,,hé shì,suitable; fitting; appropriate,4
合同,,hé tong,(business) contract,4
合作,,hé zuò,to cooperate; to collaborate; to work together; cooperation,4
和,,hé,old variant of 和,4
和平,,Hé píng,"Heping District of Shenyang city 沈阳市, Liaoning; Heping or Hoping Township in Taichung County 台中县, Taiwan",4
河,,hé,river,4
黑,,Hēi,abbr. for Heilongjiang province 黑龙江,4
黑暗,,hēi àn,dark; darkly; darkness,4
黑板,,hēi bǎn,blackboard,4
黑色,,hēi sè,black,4
很,,hěn,(adverb of degree); quite; very; awfully,4
红,,Hóng,surname Hong,4
红包,,hóng bāo,money wrapped in red as a gift; bonus payment; kickback; bribe,4
红茶,,hóng chá,black tea,4
红酒,,hóng jiǔ,red wine,4
红色,,hóng sè,red (color); revolutionary,4
后,,Hòu,surname Hou,4
后边,,hòu bian,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards,4
后果,,hòu guǒ,consequences; aftermath,4
后来,,hòu lái,afterwards; later; newly arrived,4
后面,,hòu mian,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards,4
后年,,hòu nián,the year after next,4
后天,,hòu tiān,"the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 天); acquired (not innate or congenital); a posteriori",4
后头,,hòu tou,behind; the back; the rear; later; afterwards; (in) the future,4
厚,,hòu,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress,4
呼吸,,hū xī,to breathe,4
忽然,,hū rán,suddenly; all of a sudden,4
忽视,,hū shì,to neglect; to overlook; to disregard; to ignore,4
湖,,hú,lake,4
互联网,,Hù lián wǎng,Internet,4
互相,,hù xiāng,each other; mutually; mutual,4
户,,hù,a household; door; family,4
护士,,hù shi,nurse,4
护照,,hù zhào,passport,4
花,,Huā,surname Hua,4
花园,,huā yuán,garden,4
华人,,Huá rén,ethnic Chinese person or people,4
化,,huā,variant of 花,4
划,,huá,to row; to paddle; profitable; worth (the effort); it pays (to do sth),4
划船,,huá chuán,to row a boat; rowing boat; rowing (sport),4
画,,huà,to draw; to paint; picture; painting; to draw (a line) (variant of 划); stroke of a Chinese character (variant of 划); (calligraphy) horizontal stroke (variant of 划),4
画儿,,huà r,picture; drawing; painting,4
画家,,huà jiā,painter,4
话,,huà,dialect; language; spoken words; speech; talk; words; conversation; what sb said,4
话剧,,huà jù,stage play; modern drama,4
话题,,huà tí,subject (of a talk or conversation); topic,4
怀念,,huái niàn,to cherish the memory of; to think of; to reminisce,4
怀疑,,huái yí,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that,4
坏,,huài,bad; spoiled; broken; to break down; (suffix) to the utmost,4
坏处,,huài chu,harm; troubles,4
坏人,,huài rén,bad person; villain,4
环,,Huán,surname Huan,4
环保,,huán bǎo,environmental protection; environmentally friendly; abbr. for 环境保护,4
环境,,huán jìng,environment; circumstances; surroundings; ambient,4
缓解,,huǎn jiě,to bring relief; to alleviate (a crisis); to dull (a pain),4
换,,huàn,to exchange; to change (clothes etc); to substitute; to switch; to convert (currency),4
欢乐,,huān lè,gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay,4
欢迎,,huān yíng,to welcome; welcome,4
黄,,Huáng,surname Huang or Hwang,4
黄瓜,,huáng guā,cucumber,4
黄金,,huáng jīn,gold; golden (opportunity); prime (time),4
黄色,,huáng sè,yellow (color); pornographic,4
回,,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),4
回答,,huí dá,to reply; to answer; reply; answer,4
回到,,huí dào,to return to,4
回复,,huí fù,to reply; to recover; to return (to a previous condition); Re: in reply to (email),4
回国,,huí guó,to return to one's home country,4
回家,,huí jiā,to return home,4
回来,,huí lai,to return; to come back,4
回去,,huí qu,to return; to go back,4
汇,,huì,to remit; to converge (of rivers); to exchange,4
汇报,,huì bào,to report; to give an account of; to collect information and report back,4
汇率,,huì lu:4,exchange rate,4
会,,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ]),4
会计,,kuài jì,accountant; accountancy; accounting,4
会议,,huì yì,meeting; conference,4
会员,,huì yuán,member,4
婚礼,,hūn lǐ,wedding ceremony; wedding,4
活,,huó,to live; alive; living; work; workmanship,4
活动,,huó dòng,to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior,4
火,,Huǒ,surname Huo,4
火车,,huǒ chē,train,4
伙,,huǒ,meals (abbr. for 食); variant of 伙,4
伙伴,,huǒ bàn,partner; companion; comrade,4
或,,huò,maybe; perhaps; might; possibly; or,4
或许,,huò xǔ,perhaps; maybe,4
或者,,huò zhě,or; possibly; maybe; perhaps,4
货,,huò,goods; money; commodity,4
获,,huò,(literary) to catch; to capture; (literary) to get; to obtain; to win,4
获得,,huò dé,to obtain; to receive; to get,4
获奖,,huò jiǎng,to win an award,4
获取,,huò qǔ,to gain; to get; to acquire,4
机场,,jī chǎng,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship,4
机构,,jī gòu,mechanism; structure; organization; agency; institution,4
机会,,jī huì,opportunity; chance; occasion,4
机票,,jī piào,air ticket; passenger ticket,4
机器,,jī qì,machine,4
机遇,,jī yù,opportunity; favorable circumstance; stroke of luck,4
鸡,,jī,fowl; chicken; (slang) prostitute,4
鸡蛋,,jī dàn,(chicken) egg; hen's egg,4
积极,,jī jí,active; energetic; vigorous; positive (outlook); proactive,4
积极性,,jī jí xìng,zeal; initiative; enthusiasm; activity,4
积累,,jī lěi,to accumulate; accumulation; cumulative; cumulatively,4
基本,,jī běn,basic; fundamental; main; elementary,4
基本上,,jī běn shang,basically; on the whole,4
基础,,jī chǔ,base; foundation; basis; basic; fundamental,4
激动,,jī dòng,to move emotionally; to stir up (emotions); to excite,4
激烈,,jī liè,(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme,4
及格,,jí gé,to pass an exam or a test; to meet a minimum standard,4
及时,,jí shí,timely; at the right time; promptly; without delay,4
级,,jí,"level; grade; rank; step (of stairs); classifier: step, level",4
即将,,jí jiāng,on the eve of; to be about to; to be on the verge of,4
极,,jí,"extremely; pole (geography, physics); utmost; top",4
极了,,jí le,extremely; exceedingly,4
极其,,jí qí,extremely,4
急,,jí,urgent; pressing; rapid; hurried; worried; to make (sb) anxious,4
急忙,,jí máng,hastily,4
集合,,jí hé,to gather; to assemble; (math.) set,4
集体,,jí tǐ,collective (decision); joint (effort); a group; a team; en masse; as a group,4
集中,,jí zhōng,to concentrate; to centralize; to focus; centralized; concentrated; to put together,4
几,,jī,small table,4
几乎,,jī hū,almost; nearly; practically,4
计划,,jì huà,plan; project; program; to plan; to map out,4
计算,,jì suàn,to count; to calculate; to compute,4
计算机,,jì suàn jī,computer; (Tw) calculator,4
记,,jì,"to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots",4
记得,,jì de,to remember,4
记录,,jì lù,to record; record (written account); note-taker; record (in sports etc),4
记载,,jì zǎi,to write down; to record; written account,4
记者,,jì zhě,reporter; journalist,4
记住,,jì zhu,to remember; to bear in mind; to learn by heart,4
纪录,,jì lù,"variant of 记录 (but in Taiwan, not for the verb sense ""to record"")",4
纪律,,jì lu:4,discipline,4
纪念,,jì niàn,to commemorate; to honor the memory of; memento; keepsake; souvenir,4
技巧,,jì qiǎo,skill; technique,4
技术,,jì shù,technology; technique; skill,4
季,,Jì,surname Ji,4
季度,,jì dù,quarter of a year; season (sports),4
季节,,jì jié,time; season; period,4
既,,jì,already; since; both... (and...),4
既然,,jì rán,since; as; this being the case,4
继续,,jì xù,to continue; to proceed with; to go on with,4
寄,,jì,to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc),4
加,,Jiā,Canada (abbr. for 大); surname Jia,4
加班,,jiā bān,to work overtime,4
加工,,jiā gōng,to process; processing; working (of machinery),4
加快,,jiā kuài,to accelerate; to speed up,4
加强,,jiā qiáng,to reinforce; to strengthen; to enhance,4
加入,,jiā rù,to become a member; to join; to mix into; to participate in; to add in,4
加油,,jiā yóu,to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer sb on,4
加油站,,jiā yóu zhàn,gas station,4
家,,jiā,used in 家伙 and 家俱,4
家具,,jiā jù,furniture,4
家里,,jiā lǐ,home,4
家人,,jiā rén,family member; (old) servant,4
家属,,jiā shǔ,family member; (family) dependent,4
家庭,,jiā tíng,family; household,4
家务,,jiā wù,household duties; housework,4
家乡,,jiā xiāng,hometown; native place,4
家长,,jiā zhǎng,head of a household; family head; patriarch; parent or guardian of a child,4
假,,gēi,used in 掰,4
假期,,jià qī,vacation,4
假如,,jiǎ rú,if,4
价格,,jià gé,price,4
价钱,,jià qian,price,4
价值,,jià zhí,"value; worth; fig. values (ethical, cultural etc)",4
架,,jià,"to support; frame; rack; framework; classifier for planes, large vehicles, radios etc",4
坚持,,jiān chí,to persevere with; to persist in; to insist on,4
坚固,,jiān gù,firm; firmly; hard; stable,4
坚决,,jiān jué,firm; resolute; determined,4
坚强,,jiān qiáng,staunch; strong,4
间,,jiān,between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms,4
减,,jiǎn,to lower; to decrease; to reduce; to subtract; to diminish,4
减肥,,jiǎn féi,to lose weight,4
减少,,jiǎn shǎo,to lessen; to decrease; to reduce; to lower,4
检测,,jiǎn cè,to detect; to test; detection; sensing,4
检查,,jiǎn chá,inspection; to examine; to inspect,4
简单,,jiǎn dān,simple; not complicated,4
简历,,jiǎn lì,curriculum vitae (CV); résumé; biographical notes,4
简直,,jiǎn zhí,simply; really,4
见,,jiàn,to see; to meet; to appear (to be sth); to interview; opinion; view,4
见到,,jiàn dào,to see,4
见过,,jiànguò,seen,4
见面,,jiàn miàn,to meet; to see each other,4
件,,jiàn,"item; component; classifier for events, things, clothes etc",4
建,,jiàn,to establish; to found; to set up; to build; to construct,4
建成,,jiàn chéng,to establish; to build,4
建立,,jiàn lì,to establish; to set up; to found,4
建设,,jiàn shè,to build; to construct; to establish; to develop; to institute,4
建议,,jiàn yì,to propose; to suggest; to recommend; proposal; suggestion; recommendation,4
健康,,jiàn kāng,health; healthy,4
健身,,jiàn shēn,to exercise; to keep fit; to work out; physical exercise,4
渐渐,,jiàn jiàn,gradually,4
江,,Jiāng,surname Jiang,4
将近,,jiāng jìn,almost; nearly; close to,4
将来,,jiāng lái,in the future; future; the future,4
讲,,jiǎng,to speak; to explain; to negotiate; to emphasize; to be particular about; as far as sth is concerned; speech; lecture,4
讲话,,jiǎng huà,a speech; to speak; to talk; to address,4
讲究,,jiǎng jiu,to pay particular attention to; carefully selected for quality; tastefully chosen,4
讲座,,jiǎng zuò,a course of lectures,4
奖,,jiǎng,prize; award; encouragement,4
奖金,,jiǎng jīn,premium; award money; bonus,4
奖学金,,jiǎng xué jīn,scholarship,4
降,,jiàng,to drop; to fall; to come down; to descend,4
降低,,jiàng dī,to reduce; to lower; to bring down,4
降价,,jiàng jià,to cut the price; to drive down the price; to get cheaper,4
降落,,jiàng luò,to descend; to land,4
降温,,jiàng wēn,"to become cooler; to lower the temperature; cooling; (of interest, activity etc) to decline",4
交,,jiāo,to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); variant of 跤,4
交费,,jiāo fèi,to pay a fee,4
交给,,jiāo gěi,to give; to deliver; to hand over,4
交换,,jiāo huàn,to exchange; to swap; to switch (telecom); commutative (math); to commute,4
交际,,jiāo jì,communication; social intercourse,4
交警,,jiāo jǐng,traffic police (abbr. for 察),4
交流,,jiāo liú,to exchange; exchange; communication; interaction; to have social contact (with sb),4
交朋友,,jiāo péng you,to make friends; (dialect) to start an affair with sb,4
交通,,jiāo tōng,to be connected; traffic; transportation; communications; liaison,4
交往,,jiāo wǎng,to associate (with); to have contact (with); to hang out (with); to date; (interpersonal) relationship; association; contact,4
交易,,jiāo yì,to deal; to trade; to transact; transaction; deal,4
角,,Jué,surname Jue,4
角度,,jiǎo dù,angle; point of view,4
角色,,jué sè,role; character in a novel; persona; also pr. [jiǎo sè],4
饺子,,jiǎo zi,dumpling; pot-sticker,4
脚,,jiǎo,foot; leg (of an animal or an object); base (of an object); classifier for kicks,4
叫,,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),4
叫作,,jiào zuò,to call; to be called,4
较,,jiào,to compare; to dispute; compared to; (before adj.) relatively; comparatively; rather; also pr. [jiǎo],4
教,,Jiào,surname Jiao,4
教材,,jiào cái,teaching material,4
教练,,jiào liàn,instructor; sports coach; trainer,4
教师,,jiào shī,teacher,4
教室,,jiào shì,classroom,4
教授,,jiào shòu,professor; to instruct; to lecture on,4
教学,,jiāo xué,to teach (as a professor),4
教学楼,,jiào xué lóu,teaching block; school building,4
教训,,jiào xun,to provide guidance; to lecture sb; to upbraid; a talking-to; a bitter lesson,4
教育,,jiào yù,to educate; to teach; education,4
阶段,,jiē duàn,stage; section; phase; period,4
