word,length,type,unique_to_level,also_appears_in_levels,character_count
指责,2,compound,yes,none,2
按摩,2,compound,yes,none,2
挡,1,single,yes,none,1
挣,1,single,yes,none,1
挣钱,2,compound,yes,none,2
挤,1,single,yes,none,1
振动,2,compound,yes,none,2
损失,2,compound,yes,none,2
损害,2,compound,yes,none,2
掌握,2,compound,yes,none,2
排除,2,compound,yes,none,2
接触,2,compound,yes,none,2
接连,2,compound,yes,none,2
控制,2,compound,yes,none,2
推行,2,compound,yes,none,2
提倡,2,compound,yes,none,2
提示,2,compound,yes,none,2
提起,2,compound,yes,none,2
插,1,single,yes,none,1
握,1,single,yes,none,1
搜,1,single,yes,none,1
搜索,2,compound,yes,none,2
搞,1,single,yes,none,1
搞好,2,compound,yes,none,2
摄像,2,compound,yes,none,2
摄像机,3,compound,yes,none,3
摄影,2,compound,yes,none,2
摄影师,3,compound,yes,none,3
摇头,2,compound,yes,none,2
摔,1,single,yes,none,1
摔倒,2,compound,yes,none,2
摘,1,single,yes,none,1
摩托,2,compound,yes,none,2
摩擦,2,compound,yes,none,2
撞,1,single,yes,none,1
支出,2,compound,yes,none,2
支配,2,compound,yes,none,2
收拾,2,compound,yes,none,2
收购,2,compound,yes,none,2
收集,2,compound,yes,none,2
改革,2,compound,yes,none,2
放大,2,compound,yes,none,2
放弃,2,compound,yes,none,2
敏感,2,compound,yes,none,2
救灾,2,compound,yes,none,2
散文,2,compound,yes,none,2
数目,2,compound,yes,none,2
敲,1,single,yes,none,1
敲门,2,compound,yes,none,2
文艺,2,compound,yes,none,2
斜,1,single,yes,none,1
旁,1,single,yes,none,1
无奈,2,compound,yes,none,2
无疑,2,compound,yes,none,2
早期,2,compound,yes,none,2
时事,2,compound,yes,none,2
时光,2,compound,yes,none,2
时常,2,compound,yes,none,2
时机,2,compound,yes,none,2
明亮,2,compound,yes,none,2
明明,2,compound,yes,none,1
显,1,single,yes,none,1
景象,2,compound,yes,none,2
晴朗,2,compound,yes,none,2
暂停,2,compound,yes,none,2
暂时,2,compound,yes,none,2
暖,1,single,yes,none,1
更换,2,compound,yes,none,2
更新,2,compound,yes,none,2
月球,2,compound,yes,none,2
月饼,2,compound,yes,none,2
有利于,3,compound,yes,none,3
有力,2,compound,yes,none,2
有害,2,compound,yes,none,2
有毒,2,compound,yes,none,2
有着,2,compound,yes,none,2
服从,2,compound,yes,none,2
朗读,2,compound,yes,none,2
期望,2,compound,yes,none,2
本人,2,compound,yes,none,2
朵,1,single,yes,none,1
机制,2,compound,yes,none,2
机器人,3,compound,yes,none,3
杀,1,single,yes,none,1
杀毒,2,compound,yes,none,2
来信,2,compound,yes,none,2
枪,1,single,yes,none,1
染,1,single,yes,none,1
柜子,2,compound,yes,none,2
查询,2,compound,yes,none,2
桃,1,single,yes,none,1
桃树,2,compound,yes,none,2
桃花,2,compound,yes,none,2
梨,1,single,yes,none,1
检验,2,compound,yes,none,2
棒,1,single,yes,none,1
模仿,2,compound,yes,none,2
模式,2,compound,yes,none,2
模样,2,compound,yes,none,2
模糊,2,compound,yes,none,2
模范,2,compound,yes,none,2
欠,1,single,yes,none,1
欣赏,2,compound,yes,none,2
歇,1,single,yes,none,1
歌曲,2,compound,yes,none,2
正义,2,compound,yes,none,2
正如,2,compound,yes,none,2
正版,2,compound,yes,none,2
正规,2,compound,yes,none,2
此刻,2,compound,yes,none,2
此后,2,compound,yes,none,2
此时,2,compound,yes,none,2
毒,1,single,yes,none,1
比方,2,compound,yes,none,2
比重,2,compound,yes,none,2
毕竟,2,compound,yes,none,2
毛笔,2,compound,yes,none,2
气体,2,compound,yes,none,2
气象,2,compound,yes,none,2
水产品,3,compound,yes,none,3
水分,2,compound,yes,none,2
水库,2,compound,yes,none,2
水灾,2,compound,yes,none,2
汇款,2,compound,yes,none,2
汗,1,single,yes,none,1
池子,2,compound,yes,none,2
污染,2,compound,yes,none,2
污水,2,compound,yes,none,2
沙漠,2,compound,yes,none,2
沟,1,single,yes,none,1
沟通,2,compound,yes,none,2
治安,2,compound,yes,none,2
治理,2,compound,yes,none,2
泉,1,single,yes,none,1
法制,2,compound,yes,none,2
法规,2,compound,yes,none,2
注册,2,compound,yes,none,2
注射,2,compound,yes,none,2
注视,2,compound,yes,none,2
注重,2,compound,yes,none,2
泼,1,single,yes,none,1
洒,1,single,yes,none,1
洞,1,single,yes,none,1
活力,2,compound,yes,none,2
活泼,2,compound,yes,none,2
流动,2,compound,yes,none,2
流通,2,compound,yes,none,2
浪漫,2,compound,yes,none,2
消极,2,compound,yes,none,2
消毒,2,compound,yes,none,2
消费者,3,compound,yes,none,3
消防,2,compound,yes,none,2
消除,2,compound,yes,none,2
涨,1,single,yes,none,1
涨价,2,compound,yes,none,2
深处,2,compound,yes,none,2
深度,2,compound,yes,none,2
清晨,2,compound,yes,none,2
清理,2,compound,yes,none,2
温和,2,compound,yes,none,2
渴望,2,compound,yes,none,2
游泳池,3,compound,yes,none,3
滑,1,single,yes,none,1
滚,1,single,yes,none,1
漏,1,single,yes,none,1
漏洞,2,compound,yes,none,2
漫画,2,compound,yes,none,2
漫长,2,compound,yes,none,2
火柴,2,compound,yes,none,2
